sec;sdate;NAV BK DB
IXISR;2020-11-04;322,8515
IXISR;2020-11-05;337,8682
IXISR;2020-11-06;345,8872
IXISR;2020-11-09;347,6254
IXISR;2020-11-10;357,7671
IXISR;2020-11-11;364,9939
IXISR;2020-11-12;359,0329
IXISR;2020-11-13;359,0342
IXISR;2020-11-16;361,3564
IXISR;2020-11-17;364,6674
IXISR;2020-11-18;366,8448
IXISR;2020-11-19;367,0736
IXISR;2020-11-20;366,3933
IXISR;2020-11-23;371,8449
IXISR;2020-11-24;373,9029
IXISR;2020-11-25;371,8453
IXISR;2020-11-26;377,5745
IXISR;2020-11-27;375,7146
IXISR;2020-11-30;361,8266
IXISR;2020-12-01;371,0222
IXISR;2020-12-02;376,9134
IXISR;2020-12-03;376,6687
IXISR;2020-12-04;374,0554
IXISR;2020-12-07;381,7104
IXISR;2020-12-08;381,7104
IXISR;2020-12-10;380,3545
IXISR;2020-12-11;380,7373
IXISR;2020-12-14;383,8804
IXISR;2020-12-15;385,4627
IXISR;2020-12-16;393,741
IXISR;2020-12-17;394,0253
IXISR;2020-12-18;390,4689
IXISR;2020-12-21;391,1338
IXISR;2020-12-22;380,1583
IXISR;2020-12-23;378,7513
IXISR;2020-12-28;385,7951
IXISR;2020-12-29;382,185
IXISR;2020-12-30;379,2923
IXISR;2021-01-04;387,7616
IXISR;2021-01-05;389,9762
IXISR;2021-01-06;383,601
IXISR;2021-01-07;387,2286
IXISR;2021-01-08;394,9285
IXISR;2021-01-11;406,076
IXISR;2021-01-12;403,2836
IXISR;2021-01-13;403,5581
IXISR;2021-01-14;402,0086
IXISR;2021-01-15;396,4642
IXISR;2021-01-18;403,65
IXISR;2021-01-19;401,3782
IXISR;2021-01-20;408,9558
IXISR;2021-01-21;407,0179
IXISR;2021-01-22;401,5749
IXISR;2021-01-25;399,4814
IXISR;2021-01-26;391,1953
IXISR;2021-01-27;389,0721
IXISR;2021-01-28;382,8085
IXISR;2021-01-29;368,7912
IXISR;2021-02-01;379,5853
IXISR;2021-02-02;376,404
IXISR;2021-02-03;379,439
IXISR;2021-02-04;382,5626
IXISR;2021-02-05;383,738
IXISR;2021-02-08;383,9487
IXISR;2021-02-09;382,709
IXISR;2021-02-10;382,8277
IXISR;2021-02-11;383,0007
IXISR;2021-02-15;383,0919
IXISR;2021-02-16;383,9883
IXISR;2021-02-17;379,6298
IXISR;2021-02-18;376,2697
IXISR;2021-02-19;381,166
IXISR;2021-02-22;379,1892
IXISR;2021-02-23;382,6737
IXISR;2021-02-24;379,6614
IXISR;2021-02-25;378,9806
IXISR;2021-02-26;376,2259
IXISR;2021-03-01;387,5075
IXISR;2021-03-02;387,2912
IXISR;2021-03-03;387,3949
IXISR;2021-03-04;378,501
IXISR;2021-03-05;377,4385
IXISR;2021-03-08;375,967
IXISR;2021-03-09;369,9227
IXISR;2021-03-10;373,7843
IXISR;2021-03-12;377,1916
IXISR;2021-03-15;373,8739
IXISR;2021-03-16;374,2885
IXISR;2021-03-17;372,9003
IXISR;2021-03-18;380,072
IXISR;2021-03-19;380,9227
IXISR;2021-03-22;374,6346
IXISR;2021-03-23;374,1825
IXISR;2021-03-24;369,5363
IXISR;2021-03-25;368,5635
IXISR;2021-03-26;373,3681
IXISR;2021-03-29;371,0887
IXISR;2021-03-30;364,7163
IXISR;2021-03-31;358,9297
IXISR;2021-04-01;358,2509
IXISR;2021-04-05;354,8298
IXISR;2021-04-06;357,5868
IXISR;2021-04-07;359,4225
IXISR;2021-04-08;361,5481
IXISR;2021-04-09;362,8381
IXISR;2021-04-12;353,0781
IXISR;2021-04-13;351,4813
IXISR;2021-04-14;361,3303
IXISR;2021-04-15;362,0846
IXISR;2021-04-16;360,5055
IXISR;2021-04-19;359,9311
IXISR;2021-04-20;358,4341
IXISR;2021-04-21;354,1404
IXISR;2021-04-22;355,3144
IXISR;2021-04-23;359,4494
IXISR;2021-04-26;354,7175
IXISR;2021-04-27;355,4095
IXISR;2021-04-28;353,9838
IXISR;2021-04-29;357,0863
IXISR;2021-04-30;354,3005
IXISR;2021-05-03;351,2901
IXISR;2021-05-04;353,4591
IXISR;2021-05-05;354,5374
IXISR;2021-05-06;353,3058
IXISR;2021-05-07;350,0731
IXISR;2021-05-10;352,3149
IXISR;2021-05-11;350,4528
IXISR;2021-05-17;347,8116
IXISR;2021-05-18;345,8852
IXISR;2021-05-19;340,764
IXISR;2021-05-20;344,3478
IXISR;2021-05-21;343,3598
IXISR;2021-05-24;344,2613
IXISR;2021-05-25;346,7642
IXISR;2021-05-27;344,3642
IXISR;2021-05-28;346,5208
IXISR;2021-05-31;355,0411
IXISR;2021-06-02;359,6006
IXISR;2021-06-03;365,1534
IXISR;2021-06-04;361,7425
IXISR;2021-06-07;359,615
IXISR;2021-06-08;355,2749
IXISR;2021-06-09;358,1675
IXISR;2021-06-10;362,0626
IXISR;2021-06-11;359,9046
IXISR;2021-06-14;357,3756
IXISR;2021-06-15;356,096
IXISR;2021-06-16;351,3932
IXISR;2021-06-17;347,7004
IXISR;2021-06-18;342,9437
IXISR;2021-06-21;341,0657
IXISR;2021-06-22;344,3542
IXISR;2021-06-23;339,8291
IXISR;2021-06-24;338,3405
