sec;sdate;NAV BK DB
IXIIT;2023-11-03;532,4725
IXIIT;2023-11-06;541,1967
IXIIT;2023-11-07;538,1717
IXIIT;2023-11-08;533,731
IXIIT;2023-11-09;534,3227
IXIIT;2023-11-10;530,3695
IXIIT;2023-11-13;530,4555
IXIIT;2023-11-14;531,6605
IXIIT;2023-11-15;541,6249
IXIIT;2023-11-16;541,9104
IXIIT;2023-11-17;540,2929
IXIIT;2023-11-20;541,036
IXIIT;2023-11-21;539,3435
IXIIT;2023-11-22;537,3576
IXIIT;2023-11-23;543,4817
IXIIT;2023-11-24;544,3524
IXIIT;2023-11-27;543,989
IXIIT;2023-11-28;544,8756
IXIIT;2023-11-29;543,8033
IXIIT;2023-11-30;546,0817
IXIIT;2023-12-01;553,4427
IXIIT;2023-12-04;554,7144
IXIIT;2023-12-05;553,8332
IXIIT;2023-12-06;550,5245
IXIIT;2023-12-07;552,7912
IXIIT;2023-12-08;554,0179
IXIIT;2023-12-11;547,186
IXIIT;2023-12-12;543,4211
IXIIT;2023-12-13;538,1342
IXIIT;2023-12-14;552,1883
IXIIT;2023-12-15;552,5069
IXIIT;2023-12-18;546,3493
IXIIT;2023-12-19;551,687
IXIIT;2023-12-20;551,9257
IXIIT;2023-12-21;552,0132
IXIIT;2023-12-22;553,8429
IXIIT;2023-12-27;554,3929
IXIIT;2023-12-28;559,2657
IXIIT;2023-12-29;557,9658
IXIIT;2024-01-02;563,0015
IXIIT;2024-01-03;559,0285
IXIIT;2024-01-04;568,2156
IXIIT;2024-01-05;567,7334
IXIIT;2024-01-08;563,6754
IXIIT;2024-01-09;563,182
IXIIT;2024-01-10;563,3872
IXIIT;2024-01-11;564,5314
IXIIT;2024-01-12;570,2674
IXIIT;2024-01-15;568,9079
IXIIT;2024-01-16;568,6324
IXIIT;2024-01-17;565,5615
IXIIT;2024-01-18;564,297
IXIIT;2024-01-19;563,3317
IXIIT;2024-01-22;561,7322
IXIIT;2024-01-23;557,8543
IXIIT;2024-01-24;554,7184
IXIIT;2024-01-25;550,8163
IXIIT;2024-01-26;546,4597
IXIIT;2024-01-29;552,4466
IXIIT;2024-01-30;558,8338
IXIIT;2024-01-31;559,6411
